,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
3575,tt4886016,Love in the Office, Yi lu xiang qian,2015, Comedy,3.6,20
3576,tt4886030,Time to Love, Xin bu bu jing xin,2015, Romance,4.9,98
3577,tt4886042,Where Are All the Time, Shi jian dou qu na le,2015, Drama&Romance,3.4,10
3578,tt4892556,Easy Life, Xi le chang an,2016, Comedy,3.7,24
3579,tt4892682,A Journey Through Time with Antony, Pei an dong ni du guo man chang sui yue,2015, Drama&Romance,5.3,117
3580,tt4892714,Fall in Love Like a Star, Peng ran xing dong,2015, Romance,5.2,192
3581,tt4898598,Ulterior Motive, Bie you dong ji,2015, Thriller,4.1,36
3582,tt4899056,Snow White: The Mysterious Father, Bai xue gong zhu zhi shen mi ba ba,2015, Animation&Family,5.4,66
3583,tt4901304,Behemoth, Bei xi mo shou,2015, Documentary,7.6,931
3584,tt4902266,Reborn, Reborn,2018, Action&Comedy&Crime,4.7,698
3585,tt4903518,The Rise of a Tomboy, The Rise of a Tomboy,2016, Romance,5.1,144
3586,tt4909864,Mr. Yin-Yang, Yin yang xian sheng,2015, Horror,3.4,5
3588,tt4912418,Kuiba: the Dragon Spirit Iii, Kuiba: the Dragon Spirit Iii,2014, Adventure&Animation&Family,6.6,37
3589,tt4915672,7 Guardians of the Tomb, 7 Guardians of the Tomb,2018, Action&Adventure&Horror,4.5,3328
3590,tt4920272,Cotton, Mian hua,2014, Documentary,6.9,14
3591,tt4923042,Tharlo, Tharlo,2015, Drama,6.9,320
3592,tt4925042,Chat sup yee ga fong hak, Chat sup yee ga fong hak,1963, Comedy,6.9,8
3593,tt4938830,Seven Days, Dong,2015, Drama,6.3,38
3594,tt4940416,Duck Duck Goose, Duck Duck Goose,2018, Adventure&Animation&Comedy,5.8,3224
3595,tt4940612,The Promised Land, Hui dao bei ai de mei yi tian,2015, Drama,6.4,24
3597,tt4950362,The Honey Enemy, Qing di mi yue,2015, Comedy&Romance,6.0,40
3601,tt4957446,Paths of the Soul, Kang rinpoche,2015, Drama,7.5,759
3603,tt4960242,Book of Love, Bei Jing yu shang Xi Ya Tu 2,2016, Comedy&Romance,6.2,797
3604,tt4960930,The Fox Lover, The Fox Lover,2013, Action,5.7,75
3605,tt4961016,The Lady in the Portrait, Le portrait interdit,2017, Drama&Romance,6.4,71
3607,tt4970038,Iron Protector, Chao ji bao biao,2016, Action,5.6,626
3609,tt4976086,The Hundred Regiments Offensive, Bai tuan da zhan,2015, War,4.0,88
3611,tt4979652,The Witness, Wo shi zheng ren,2015, Action&Crime&Drama,6.0,626
3612,tt4986830,Chun jie xin ling: Zhu meng yan yi quan, Chun jie xin ling: Zhu meng yan yi quan,2015, Comedy&Drama,1.0,552
3615,tt5004890,Upheaval of Jiawu, Da bian ju zhi meng hui Jia Wu,2015, Drama,2.4,5
3616,tt5004908,The Calligraphy Master, Qi Gong,2015, Biography,5.9,30
3617,tt5004918,Love in the 1980s, 1980 nian dai de ai qing,2015, Romance,6.4,43
